Комментарии,Эмоциональная окраска
"Наверное специально данное приложение создано топорно, чтоб пользовались все заморской программой. Так и не смог зайти в настройки , это ж нужно было их в такую .... спрятать , чтоб людям было не все так просто, чтоб зайти и вписать код в аккаунт с телевизора.",Негативная
"Знаю это приложение но никогда не скачивал. Попробовал и как-то не очень! Вам предстоит его улучшить. Но начну с плюсов. 1)Спасибо вам что сделали рутуб в фоновом режиме и это может кому-то пригодится 2)там есть куча ТВ каналов! Я не смотрю их всех но телеканал солнце можно посмотреть. Теперь минусы. 1)Почему в рутубе нет кнопки развернуть как на Ютубе? Это удобнее чем тыкать кнопку назад. 2)почему кнопки ""сохранить видео"" и ""написать комментарий"" странные символы? И что ещё там за ракета?",Негативная
Удачное обновление всё тупит и вылетает хотя до обновления все работало прекрасно 🙁,Негативная
Всё идеально!и смотрю и играю,Позитивная
"Не нашла, а как видео скачивать в память телефона, чтобы без инета смотреть?",Нейтральная
Слишком сыро нету разделения по поискам до 60 минут и выше не ищет,Негативная
"Спасибо вам большое за идеальное приложение!♥️🌸 Ненавижу shorts... слава Богу их нет. Изменено: В Rutube разложено всё по полочкам. Сначала важные видео, а потом shorts🥰",Позитивная
Просто превосходно.,Позитивная
если не сравнивать с YouTube наверное было бы всё хорошо Ну когда ты ездил условно говоря на хорошем автомобиле а потом пересаживается на Запорожец то понимаешь что это не очень хорошо но тоже ездить можно Хорошего дня друзья всем,Негативная
"Не получается зарегистрироваться. Присылает проверочный код, я переключаюсь на почту, чтобы его посмотреть, переключаюсь назад, а поле проверки кода пропало. Не очень -то и хотелось. Кушайте сами.",Негативная
Видео не загружается,Негативная
"Странная логика - спрятать кнопку поиска между уведомлениями (кто их часто использует?) и ЛК юзера. Каждый раз (а люди пользуются поиском довольно часто) приходится попадать ""между"" этих элементов((( неудобно абсолютно. Может стоит сделать элемент(поле ввода) поискового запроса по центру и привязать к нему сразу и кнопку ""Поиск""? А следом за ней уже можете и колокольчики развесить и профиль пользователя )",Негативная
Прикольно только смотреть нечего,Негативная
Русская пародия на YouTube,Нейтральная
"Реалми 10 про+. Запускается как смарт тв, нет возможности войти в аккаунт, только в альбомном формате, кнопки не работают. Какой-то ужас.",Негативная
Тормозит,Негативная
Как же надоело постоянно заново авторизоваться в приложении.,Негативная
"Не приложение а пародия на Ютуб,опять слетала авторизация,даже повторно зайти не могу код так и не пришел на телефон!",Негативная
Почему нет возможности прокрутить видео вперёд или назад ? На Ютюбе нажал на точку и веди до момента какой хочешь посмотреть,Нейтральная
Ужас. Постоянно тормозит. Даже в самом низком качестве смотреть просто невозможно. Кроме того видео постоянно выдаёт ошибку .,Негативная
Телевизор LG Всё обновлено на следующий день аккаунт снова отсутствует,Негативная
"В личный кабинет не войти, смс с кодом не присылает. Голосового набора нет в поиске на телевизоре",Негативная
Есть в телефоне но пользуюсь редко. Нормально,Нейтральная
"Постоянно нужно заново заходить в свой аккаун. Как на телефоне, так и на тв.",Негативная
"Здравствуйте. Приложение хорошее. Сделайтее короткие видео, как В Тик токе 🙏🙏🙏🙏☺☺☺🥰🥰🥰",Нейтральная
хорошая альтернатива ютубу.,Позитивная
"Что за х****??? Приложение стало открываться в альбомном режиме, как на смарт тв, не одна клавиша не работает, изменение ориентации экрана не помогает. Как-то фиговое обновление",Негативная
"Постоянно застревает видео, хотя аудиодорожка идет вперед, само приложение подтупливает. Сколько уже можно изобретать велосипед то?",Негативная
"Смотрю битву экстрасенсов, тянет",Нейтральная
Что за убогое обновление с альбомным вариантом просмотра и неработающим экраном ? Реалии гт 13 андроид,Негативная
"Баг с установкой версии для ТВ исправили, меняю оценку. Разработчикам моё почтение:)",Негативная
"Приложение не оптимизировано ! Кипит процессор , грузит оперативку !!!!! Что нельзя содрать копию с реванседютуба ???",Негативная
"Тормозят видео, до ютуба вам ещё далеко",Негативная
"Все прекрасно, только видео очень логает каждую минуту загрузка...",Нейтральная
Не соединяется,Негативная
Приложение плохое. Видосы залетают только у топовых блогерах и звёзд. Если случайно отключить монетизацию потом фиг вернёшь,Негативная
"Вот у меня Realme c30 и вроде бы всё хорошо, но проблемы с просмотром, либо видео недоступно, хотя если заново включу видео всё хорошо и вечная загрузка, а с интернетом всё нормально я даже Интернет перезагружаю, но проблема не устраняется. Я искренне надеюсь, что проблему хотя бы немного получиться устранить",Негативная
ужасное приложение видео Прыгает на одной минуте и возвращается обратно,Негативная
"Ваше ""чудесное "" приложение не грузит вообще ничего, интернет есть, но невозможно посмотреть что либо- все время загрузка. Работает только в одном положении, экран не переворачивается. Чуть лучше чем ваш сайт, но хуже чем все остальное начиная от наших приложений с фильмами, до зарубежных вообще далеко! Даже зетфликс лучше работает, чем рутуб...",Негативная
"Разработчики на проблему отреагировали быстро,но вроде разобрался сам!Появятся,проблемы или вопросы обязательно свяжусь .Приложение понравилось,ничего замороченого нет,всё просто,для меня удобно!",Позитивная
Всё отлично!,Позитивная
"Полное гов,,о, великая родина, не может даже 60минут,вести недели, да почти всё, что искал нет, или если есть, то опять с каким-то подводим 1 🌟",Негативная
Спасибо огромное,Позитивная
"Последнее обновление просто ужасно, верните пожалуйста как было(",Негативная
Окей,Нейтральная
"Много чего нужно допилить, оптимизировать, 5 звёзд Вам что бы дальше развивались",Нейтральная
Хорошее приложение.,Позитивная
"Потратил за ночь просмотра аудиокниг на минимальном разрешении более 13 Гб, и за прошлый период более 89 Гб хотя я смотрел максимум 100 видео из сериала(минимальное разрешение = минимальное качество)",Нейтральная
"Удобно что есть приложение на телевизоре, удобно смотреть передачи, шоу с различных ТВ каналов. Но вот фильма полицейский с Рублёвки нет(",Позитивная
"Надоело, что всё время выкидывает из аккаунта. Нигде так не бывает, только тут.",Негативная
"В общем, приложение понравилось. Но есть пару минусов: 1. Нет сообщества. Я хочу поделится с чем-то, но могу только видео:( 2. Дело в том, что я удалила аккаунт. Сейчас хочу создать новый (на тот же номер), но во время регистрации пишут ""на этот номер уже существует аккаунт, зайти?"". Ну а при нажатии кнопки ""зайти"" высвечивается сообщение ""такого аккаунта не существует, создать новый?"". И что прикажете делать? Я вижу единственный выход: создать на другом номере. Поэтому 4 ⭐",Негативная
"вечная загрузка, проходит 3-5 секунд видео и загрузка, так каждый раз.Смотреть просто невозможно!!!Интернет и Скорость сети хорошая",Негативная
*СУПЕР*,Позитивная
"Развивается,8 месяцев смотрю на приставке версию для Андроид.тв На YouTube 1 раз заходил за это время..",Нейтральная
"Это ужас. Начинаю что-либо смотреть и тут раз, в самое начало. А потом и перемотать не получается, всё глючит. Вроде всё вернулось в норму, а тут реклама. И после неё снова в самое начало видео! Очень недовольна.",Негативная
"Намного лучше стало приложение,но,когда появятся ответы на комментарии?",Нейтральная
"Приложение неплохое, удобное, но что-то странное стало с самовольным выходом из приложения происходить. Ни с ПК ни с андроида не могу зайти через Яндекс аккаунт. При попытке войти через почту, к которой Яндекс аккаунт и относится, пишет, что такого пользователя нет и создаёт новую учётку...",Негативная
"Удивлен. Работает шустро. Воспроизведнние в фоне! Отлично. Большего и не нужно. Только не сломайте ничего. 03.06.2023 Как и в во вконтакте - совершенно никакая работа прямых эфиров. Перескоки, зависания. После окончания трансляций - часы ожидания доступности. Курите бэкэнд (к сожалению) ютуба. Это касается не только приложения, но и самого Rutube, как видеосервиса. Я в вас верю.",Нейтральная
"Смотреть просто невозможно. Виснет все. И а домашнего интернета, и с мобильного. Господа, ОПТИМИЗИРУЙТЕ УЖЕ, ПОЖАЛУЙСТА! Сидят и ничего не делают, как будто так и надо.",Негативная
Какой дегенерат занимается разработкой приложения? Это просто трэш.,Негативная
Ужасное приложение видео 10 секунд идут а 5 минут грузится что это такое плохое приложение,Негативная
"не работает кнопка пауза на наушниках блютуз. такое ощущение, что вам сказали сделайте как можно хуже, чтобы люди никогда не перешли с ютуба на рутьюб. враги засели, бюджеты пилите. ну и пилите дальше, поддержки не ждите.. Дополняю отзыв. Рутьюб добавил паузу по нажатию с беспроводных наушников. Загрузка видео не тормозит - шустрит, как и ютуб... Допилите ещë комментарии, чтобы было удобно обсуждать видео, чтобы обсуждения можно было вести отдельно в ""колокольчике"" уведомлений. Цитатить. 4*",Негативная
"приложение само по себе классное, смотреть нежели на Ютюбе вообще приколдес (битва экстрасенсов в хорошем качестве так ещё и выпуски почти сразу после трансляции выпускают) но минус за который снижаю балл ,НУ ПЛОХО ГРУЗИТ ОНО ,сеть 4G ,с хорошими данными ,стоп и загрузка ,все,сиди и жди ,загрузит урааааа,5 сек проиграет и опяяяяять ))) я не знаю почему так кроме как приложение такое",Негативная
Реклама.Из 2008 года...вы совсем чтоль???,Негативная
Отличное приложение!!!,Позитивная
"Есть недочёты над которыми надо поработать, например: в комментарии, после нажатия интер, комментарий опубликован, а мне бы хотелось чтобы, как в ютубе перенос строки был Начал пользоваться рутубом, после сноса наших блогеров, надеюсь страна чьи программисты занимают первое место в Мире сможет создать достойный аналог ютуба, чтобы там больше не сидеть вообще",Нейтральная
идиотизм. выбивает из аккаунта и прочие глупости,Негативная
Какое клёвое шоу. Интересно себя проверить. Моя интуиция меня подвела. Теперь с нетерпением жду новую серию,Позитивная
круто,Позитивная
"Ужасно просто. UPD. Смотрю на андроид тв, косяков много, но упомяну самый главный: при стабильном интернет соединении наблюдаются жуткие подтормаживания, даже в низком разрешении, что делает посмотр видео не ""смотрибельным"". В прочем, в других отзывах об этом Вам уже писали.",Негативная
"""стремительно растущее"" роста и развития 0. Интереса посещать нет. Не удобно. Просто всё слижите на ютубе и будет норм. И плевать на их возгласы о краже интеллектуальной собственности )) они ж на все плевали ! Делай как они.",Негативная
"Интернет меньше 30 мегабит, вам не посмотреть видео даже в 360p, залогинились ? Это не на долго",Негативная
По какой причине на смарт тв зайдя в аккаунт я не могу поменять качество видео только 480 и все ????,Негативная
Хорошее приложение.,Позитивная
пачему не видно сколько просмотров? не автору а нам,Негативная
"5 звёзд, вижу что разработчик отвечает почти на всеее отзывы, молодцы",Позитивная
подписка!!,Мусор
"Господи, какой у вас убогий, мягко говоря, продукт!",Негативная
"Вы задолбали! Научите приложение запоминать место, где остановил просмотр!!!!! Переключаешься на другой ролик, возвращаешься, а там на 10-15 минут назад метка осталась! Ну что вы за люди?!",Негативная
"Подружите телевизор и смартфон, и будет хоть что то, а так чмошное приложение",Негативная
"Меняю одну звезду пока на три. Быстрая конструктивная реакция на любые отзывы. Рекламу можно пережить, и примите благодарность за отключенный в ней звук. Но бесконечные зависания все равно выводят из равновесия. Вы на какую целевую аудиторию рассчитываете? У которой смартфоны и ПК только последних версий с огромным об'емом памяти? С момента существования зарегистрирована, слежу за существованием платформы, улучшения имеют место. Желаю успехов в дальнейшем продвижении.",Нейтральная
Все устраивает приложение нормальное,Нейтральная
Очень плохая скорость.,Негативная
"Что нужно сделать чтобы войти в свой аккаунт на телефоне? Использование приложения было терпимо, но сейчас что-то не нормальное произошло с обновлением. Дайте хотя бы инструкцию.",Негативная
"Отличная озвучка, очень жду продолжения.",Позитивная
Здравствуйте приложение классное особенно на телевизоре смотрю видосы и приколы 1 день 🎉 поставлю 5 звёзд нечего больше можно было и 90000000 но тут только 5 покаа💖,Позитивная
"Здравствуйте , приложения было норм только 2дня, И я не могу включить серию повторно И ето очень проблематично.",Негативная
Все хорошо.,Позитивная
"Вы думаете что я смогу оценить приложение в Одессе?В гугл плай рутуб забанен.У меня его тоже нет,потому что оно попросило обновиться и я поц Старое приложение снёс,нового приложения скачать негде.",Негативная
"Как отключить воспроизведение видео прямо в списке подписок? Я его ещё смотреть не начал, а оно уже куда-то перемоталось! И вообще это отвлекает, мне это не нужно. --- ПРОШЛО ПОЛГОДА! КОГДА МОЖНО БУДЕТ ОТКЛЮЧИТЬ АВТОВОСПРОИЗВЕДЕНИЕ ПРЕВЬЮ?! 😡",Негативная
Возможно хороший но увы... Когда я хотела посмотреть канал Домашний меня отправляют на сайт. Не очень то удобно...Прошу вас сделать так чтобы было удобно смотреть,Негативная
Добавти смена аккаунт,Негативная
"Неочень, видосы старые, а из новинок только про Россию,так ещë и загрузка поиска идëт до 5 секунд, я кншн понимаю это русский аналог ютуба, но мы точно в 21 веке? И всë же..",Негативная
"Всё время делает выход с аккаунта. Минимум каждый день. (это исправили, подождём, опробуем) Теперь, когда пишешь коментарии, видео прикрывается всем полем коментариев, это неудобно.",Негативная
"Частенько самопроизвольно выходит из аккаунта. Очень часто бывает включаешь видео и через секунду включается почему то другое. По началу думал что я рукой жму, но потом понял что приложение само включает видео",Негативная
класс!,Позитивная
"Давно не заходил, но сегодня был впечатлён.Ребята работают.Ребята,так держать!!!!!",Позитивная
👍,Позитивная
супер,Позитивная
"Приложение хорошее, мне нравится что много новых выпусков, удобно смотреть. Ставлю четыре потому что у меня постоянно погружается видео, хотя с интернетом всё хорошо. Может у меня у одной так.",Нейтральная
Битва экстрасенсов сильнейших круто,Позитивная
Класс,Позитивная
"Поставил бы 5, если бы аккаунт не теряли. Заново проходить регистрацию? Или ждать когда восстановят? Аккаунт то не восстанавливается. Что вы там исправили? Короче удаляю. Если Ютюб снесут, только тогда скачаю.",Негативная
"Разработчики или модераторы сайта, после прочтения моего отзыва, все таки дали поставить мне пароль для аккаунта.",Нейтральная
Сделайте активацию в приложении!!! Слижите с ютуба...,Негативная
"Ребят, сделайте реакции понятные для всех(привычные), типа нравится или не нравится. Смайлики довольно странные. Видно, что становится приложение лучше 👍👏Удачи вам в улучшении, успехов в развитии!!!",Негативная
"Приложение хорошее, но почему нет дизлайков?(",Позитивная
"Ужасно почему невозможно зайти в аккунт на телевизоре все мудрено и как то непонятно,по этому QR коду переходит в приложение на телефоне ,иииии что дальше мне нужен рутуб на телевизоре.Просто даже в браузере о крываешь и кнопка вход не работает сколько не жми её открывает",Негативная
"Вылетает из аккаунта! Регулярно, что на андройд, что на айпаде! Чините ё моё ! Полгода вылетает!",Негативная
"Приложение отличное,все понятно",Позитивная
"Приложение стало намного лучше за последнее время. Однако появился странный баг. При просмотре приложение само перескакивает на другие ролики. Смотришь один ролик, потом он резко прерывается и начинает показываться какой то другой.",Позитивная
Открывается приложение как на смарт ТВ. Стало не удобно пользоваться,Негативная
Нормально Мне нравится́ Не получилось нажать сразу все звёздочки!))),Нейтральная
Oчень достойная наша площадка !,Позитивная
Я доволен приложением,Позитивная
"Функция ""комментарии "" не доработана. Писал об этом разработчикам несколько раз, никаких изменений.",Негативная
"Подписывать мы, глухие, не можем. Нет кнопки ""субтитры"". Тупо смотреть нет желание. Добавьте пожалуйста в настройке ""субтитры"", чтоб можно читать о чём идёт речь в роликах фильма... И к вам придут дополнительные подписчики.",Негативная
"Ура, починили",Позитивная
1 много,Мусор
"хорошо,4 так как платформа растет все.и точка)",Позитивная
"Ну если разлогины в прошлом, то тогда кайф👍 Еще бы алгоритмы рекомендаций хотелось бы улучшить, а в целом приложение норм",Позитивная
"Добрый день, разработчик предлоггает для просмотра рутуб в флагманский телевизор Самсунг втыкать Chromecast. По HDMI к телевизору подключается саунбар! Иными словами надо сделать так, что б видио с телефона на телевизор переключалось без кастылей в виде Chromecast как у Ютуб Опять вылетает аккаунт, с ТВ в аккаунт не возможно зайти!!!! ПОЖАЛУЙСТА УВОЛЬТЕ ТУПОРЫЛЫХ ДИГРАДАНТОВ, НАЙМИТЕ СПЕЦИАЛИСТОВ!",Негативная
Хорошее приложение. Очень удобным интерфейсом.,Позитивная
"Отвратительно. Удалил. Глючит, лагает, алгоритмы поиска никакие, авторизация вечно слетает.",Негативная
Круто!!!!!!!!!!!!!!!!!,Позитивная
"Наймите уже программистов не с ПТУ и почините свое приложение. Не работает ничего, в браузере удобнее смотреть. Но в браузере с компа. С мобильного браузера тоже ничего не работает.",Негативная
Приложение прикольное,Позитивная
"Классное приложение, есть хорошие фильмы, и даже Пучков!",Позитивная
"Люди добавьте Индийское кино""Индия ТВ"",хотябы,молчу по Аниме и Вокалоидов клипы и мультипликации с Турецкими фильмами,сериалами и клипами с музыкой,очень надо,пока у вас здесь этого нет к сожалению я как понял,а то у меня уже давно есть желание перейти полностью на Русскоярычный формат приложении,остался вашь вот это вот,поэтому пока лазяю в Ютубе,добавьте по паре каналов,по каждой теме из перечисленных и тогда я смогу наконец перейти к вам полностью,потому что очень хочется,но этих групп нет!",Негативная
Отличный видеохостинг,Позитивная
Рекомендую,Позитивная
"А как понимать фразу ""Постоянные разлогины в прошлом""? Захожу и опять выкинуло из профиля. Выходит постоянные в прошлом, а не постоянные всё равно остались? ) Год уже пользуюсь и одно и то же. В чём проблема сделать нормальную авторизацию? Почему ни с одним другим приложением такого нет?",Негативная
"Редкостная дрянь. Неудобная, теряет аккаунт, сортировка не работает, тормозит. Прога даже сама обновиться не в состоянии, вылетает. Пипец криворучки .",Негативная
"Почему тройка ? Объясняю,приложение нормальное ,но я не могу написать комментарий,до вчерашнего дня было нормально ,а вчера написал коммент,а там пишут, действие и внизу вход,профиль мой есть ,что мне сто раз писать номер телефона,код,что случилось,я ,конечно,могу и без комментариев обойтись,но иногда мне хочется написать,на ютуб таких проблем не было ,напишите в чем дело?",Нейтральная
Супер шустер,Позитивная
"Ребята поднажмите, очень много функций не хватает, я думаю вы и сами знаете каких, когда большая обнова?)",Негативная
Удобное приложение,Позитивная
"Что вы натворили в последнем обновлении? В вертикальном положении RUTUBE перестал работать, только в горизонтальном. Ссылки на каналы RUTUBE, сохраненные в Viber, перестали запускаться при попытке их запустить из Viber (автоматически открыть RUTUBE, автоматически открыть по ссылке канал на RUTUBE для последующего выбора и запуска видео с этого канала). Полоса прокрутки видео не работает. RUTUBE был неповоотливым, а после обновления стал никаким, нерабочим. Зачем выпускать такие обновления?",Негативная
"Как мне надоело, что постоянно выкидывает из учётной записи!!! Два дня всё норм, а сегодня войдите в учётку! И так постоянно!",Негативная
для Android TV всё сырое аэромышь не работает ей было бы удобнее выбрать категорию и кликнуть при включённой аэромыше О'кей не работает нет никаких настроек,Негативная
"Классное приложение! Особенно, понравилось, что может работать в фоновом режиме. Такой функции, в Ютубе нет.",Позитивная
"Лучший аналог Ютуба от русских разработчиков. Очень большие темпы развития видно за последние 2 года, есть много откровенных косяков, но они стремительно исправляются. Ютуб скоро блокнот, на вас вся надежда",Позитивная
достала ошибка с подключением...,Негативная
"Какое же классное приложение!!! Я вот не любительница смотреть телевизор, да и программы по времени меня не очень устраивают, а в Rutube можно смотреть эти же самые программы!!! Осрбенно телеканал ТНТ 🤩🤩🤩Спасибо за работу приложения, мне очень нравится!!!!",Позитивная
Постоянно падают видео,Негативная
супер,Позитивная
"Где чат на стримах?? Куда его можно было засунуть, я все облазила?!!",Нейтральная
все нравится=),Позитивная
Супер приложение 👍👍👍👍👍👍👍👍,Позитивная
"Почему то перестал запоминать где я остановился на видео, всегда включает с самого начала(",Негативная
Предложение не скачевается!!!!!!!!,Негативная
Что за параша ваш RuTube YouTube намного лучше нафиг его вообще создали Я не понимаю я вбиваю свой аккаунт чтобы зарегистрироваться в RuTube он говорит что он мне неправильный хотя он правильный,Негативная
Йыхх⁰эээээ7эшйэш дж эю Ййфйф,Мусор
Приложение топ! Легко снимать. Стримить. Больше всего на моем канале 1 🍋и меня радует ваше приложение потому что оно очень влияет на меня. СПАСИБО!,Позитивная
При просмотре видео каждые три минуты реклама. Совсем кукухой двинулись,Негативная
"Ужасно!!!!!! Дизлайк нет Пожаловаться на видео практически не возможно !!!! Лайк,Дизлайк,Ответ на комментарий нет !!!! ОЧЕНЬ МНОГО ЛОЖНОЙ ИНФОРМАЦИИ!!!!!",Негативная
Не так все плохо,Негативная
"Здраствуйте, вот смотрю ролик а у него продолжений много и что делать? Показывает следущие всё что угодно но то что надо.",Негативная
Очень понравилось.,Позитивная
Постоянно происходит задержка видео и звука. Загружается видео долго. После при просмотре происходят остановки .,Негативная
"особенно нравится возможность слушать видео в фоновом режиме, на заблокированном экране",Позитивная
Нельзя смотреть в другой стране. Пишет недоступно видео для вашей страны.,Негативная
Не могу скачать,Негативная
позновательно!,Позитивная
Мдэ,Мусор
"В тлф ясно где найти, а вот в смарт тв нужно лезть черти куда. Да и почему то не сохраняются мои предпочтения как это в Ютубе. А постоянно одни и теже рекомендации, которые просто вынуждают вызодить из Рутуба Тупее платформы еще не встречала. Надоели постоянные подтверждения аккаунта. Подписки находятся черти где, за то сплошной мусов постоянно предлагается. Ни за что ни кому не посоветую Rutub.",Негативная
"Очень неплохой видеохостинг, но не хватает конечно комментариев к комментариям, лайки на комментарии, что бы во вкладке ""главное"" показывали видео в срочном порядке, все таки не очень удобно, когда видео показываются лентой, а так, ещё раз большое спасибо за неплохую альтернативу!:)",Нейтральная
"При каждом обновление логин слетает, звезда только за то что запоминание место воспроизведение сделали наконец то. Надеюсь доработаете приложение.",Негативная
Чтобы выйти с просмотра надо совершить чудо,Негативная
"Многое надо доработать, многое исправить, но мне нравится, неплохо и сейчас. Главное, не останавливаться, не делать тупых обновлений и не скатываться до политики YouTube.",Нейтральная
"Ужасное,недоработаное приложение.Особенно,когда входишь через телевизор. Когда входишь в свой аккаунт через телевизор нет не твоих подписок,не истории просмотров.Нет даже избранных.Я полностью недовольна.Ведь если ютуб заблокируют то,как быть в этом предложении?Если сравнивать ютуб и рутюб то,конечно,ютуб лучше.Лучше доработать неполадки,чтобы мне понравилось😋.А ещё можно сделать трансляцию с телефона на телевизор,то есть ты заходишь в рутюб через телефон ,нажимаешь на кнопку воспроизвестивидео",Негативная
"Постоянно вылетает. Чтобы зайти заново, надо пройти 7 кругов ада! Что ж вы такие безрукие!? Всё по прежнему!!! Удаляю, чтобы даже места не занимал и не вспоминать даже!!!",Негативная
"За час-два просмотра рутуб съел 3.5Гб трафика. Телеграмм, ютуб, вконтакте такого себе не позволяют... Снëс это прожорливое приложение.",Негативная
Бомба просто супер ✊,Позитивная
Вообще не открывается,Негативная
Ребята почему мне каждую неделю разлогинивает? В чем проблема?,Негативная
"Учитывая что сейчас все новинки русского сегмента выходят тут,вышла достойная замена ютубу,ничего не глючит,качество хорошее",Позитивная
Не могу войти в профиль. Ввожу телефон пишет не такого профиля зарегистрируйтесь. Регистрируюсь пишет такой профиль есть и так по кругу. Тоже самое и через почту.,Негативная
Все видео зависают. И пишут что это видео не доступно. Смотреть невозможно. Три часа смотрю часовую передачу. Кошмар.,Негативная
"Часто не грузит видео, проблема с перемоткой в онлайн режиме стрима, сбивается тайм при повторном просмотре с того же места. Добавте количество просмотром и количество оценок к видео",Негативная
"С удовольствием меняю оценку с 2 до 4. Разработчики проделали большую работу по устранению ошибок и недочётов и приложение стало гораздо комфортнее и стабильнее. Остаётся, конечно, ещё масса вещей, которые необходимо доработать, но их отношение к продукту заставляет надеяться, что они продолжат улучшать и совершенствовать его. Спасибо!",Нейтральная
